ID	Question	DBpedia	MusicBrainz	Wikidata	YAGO	LinkedMDB
187	Which languages are spoken in Estonia?	SELECT DISTINCT ?label WHERE { ?uri <http://dbpedia.org/ontology/spokenIn> <http://dbpedia.org/resource/Estonia>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q5398426; wdt:P170 wd:Q25014 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Estonia res:hasOfficialLanguage ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
188	What is the largest country in the world?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Country ; dbo:areaTotal ?n; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?n) OFFSET 0 LIMIT 1	X	SELECT ?itemLabel WHERE { ?item wdt:P31 wd:Q6256 . ?item wdt:P2046 ?area . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY DESC(?area) LIMIT 1	X	X
189	What is the largest city in america?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?label WHERE { dbr:United_States dbo:largestCity ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P31 wd:Q1093829 . ?item wdt:P2046 ?area . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY DESC(?area) LIMIT 1	X	X
190	Who was the pope that founded the Vatican Television?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?label WHERE { ?uri rdf:type dbo:Pope; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) . res:Vatican_Television_Center dbo:foundedBy ?uri }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q1471987 wdt:P170 ?item . ?item wdt:P106 wd:Q19546 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:created res:Vatican_Television_Center .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
191	Who discovered Ceres?	PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?label WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> dbo:discoverer ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q596 wdt:P61 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
192	Who is the king of the Netherlands?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { res:Netherlands dbo:leader ?uri . ?uri rdf:type dbo:Royalty; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P39 wd:Q2045066 . wd:Q55 wdt:P35 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri a res:wikicat_Dutch_monarchs .?uri a res:wikicat_Living_people .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
194	What is the alma mater of the chancellor of Germany Angela Merkel?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?label WHERE { dbr:Angela_Merkel dbo:almaMater ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q567 wdt:P69 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Angela_Merkel res:graduatedFrom ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
196	Which airports does Yeti Airlines serve?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Yeti_Airlines dbo:targetAirport ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q1480118 wdt:P113 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Yeti_Airlines res:linksTo ?uri .?uri a res:wikicat_Airports .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
197	Where is the birthplace of Goethe?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?label WHERE { dbr:Johann_Wolfgang_von_Goethe dbo:birthPlace ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q5879 wdt:P19 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/> SELECT ?area WHERE { res:Johann_Wolfgang_von_Goethe res:wasBornIn ?area. }   	X
199	Which ingredients do I need for carrot cake?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Carrot_cake dbo:ingredient ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q656071 wdt:P527 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
200	Who created Wikipedia?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Wikipedia dbo:author ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q52 wdt:P170 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:created res:Wikipedia .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
201	What is the highest mountain in Saxony Germany?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?label WHERE { ?m dbo:mountainRange dbr:Ore_Mountains ; dbo:elevation ?height; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?height) LIMIT 1	X	SELECT ?itemLabel WHERE { ?item wdt:P31 wd:Q8502 . ?item wdt:P131 wd:Q1202 . ?item wdt:P2044 ?elev . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY DESC(?elev) LIMIT 1	X	X
202	Who is the current federal minister of finance in Germany?	PREFIX dbo: <http://dbpedia.org/ontology/> SELECT ?label WHERE { <http://dbpedia.org/resource/Federal_Ministry_of_Finance_(Germany)> dbo:leader ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P39 wd:Q499118 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri a res:wikicat_Finance_ministers_of_Germany .?uri a res:wordnet_officeholder_110371450 .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
203	In which country is Mecca located?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Mecca dbo:country ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q5806 wdt:P17 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>  SELECT DISTINCT ?label WHERE  {   res:Mecca res:isLocatedIn ?o.  ?o a res:wikicat_Countries.  ?o rdfs:label ?label.  FILTER langMatches( lcase(lang(?label)), "eng") } LIMIT 1  	X
204	Who played Gus Fring in Breaking Bad?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Gus_Fring dbo:portrayer ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q5620660 wdt:P175 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	
205	In which country does the Nile start?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Nile dbo:sourceCountry ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q6256 . wd:Q3392 wdt:P885 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
206	In which state Penn State University is located?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?label WHERE { dbr:Pennsylvania_State_University dbo:state ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q739627 wdt:P131 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?uri WHERE {<http://yago-knowledge.org/resource/Penn_State_University%2C_Dickinson_School_of_Law> res:locatedIn ?uri .?uri a res:wikicat_States_of_the_United_States .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
207	What is the biggest stadium in Spain?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Stadium ; dbo:location res:Spain ; dbo:seatingCapacity ?n; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?n) OFFSET 0 LIMIT 1	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q1154710; wdt:P17 wd:Q29; wdt:P1083 ?num . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY DESC(?n) OFFSET 0 LIMIT 1	X	X
208	Who is the coach of Ankara's ice hockey team?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { ?x dbo:city res:Ankara ; dbo:league res:Turkish_Ice_Hockey_First_League ; dbo:coach ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q15256859 wdt:P286 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
210	Who created Batman?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Batman dbo:creator ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )}	X	SELECT ?itemLabel WHERE { wd:Q2695156 wdt:P170 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:created <http://yago-knowledge.org/resource/Batman_(1989_film)> .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
212	Who are the developers of DBpedia?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:DBpedia dbo:developer ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q465 wdt:P170 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/> SELECT DISTINCT  ?label WHERE {  ?s res:created res:DBpedia. ?s rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )  } 	X
213	Give me all movies directed by Francis Ford Coppola.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Film ; dbo:director res:Francis_Ford_Coppola; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { ?item wdt:P31 wd:Q11424 . ?item wdt:P57 wd:Q56094 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Francis_Ford_Coppola res:directed ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>PREFIX lmdbd: <http://data.linkedmdb.org/resource/director/>SELECT DISTINCT ?label  WHERE {?uri a lmdbm:film. ?uri lmdbm:director <http://data.linkedmdb.org/resource/director/8405>.?uri rdfs:label ?label.} 
215	What is the location of the Houses of Parliament?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT ?label WHERE { res:Palace_of_Westminster dbo:location ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q62408 wdt:P131 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Palace_of_Westminster res:isLocatedIn ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
219	Who was the first King of England?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Royalty ; rdf:type yago:WikicatEnglishMonarchs ; dbo:activeYearsStartYear ?date; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY ASC(?date) OFFSET 0 LIMIT 1	X	SELECT ?itemLabel WHERE { ?item p:P39 ?statement . ?statement ps:P39 wd:Q9134365 . ?statement pq:P580 ?data . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY ASC(?date) LIMIT 1	X	X
220	Who is the editor of Forbes?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Forbes dbo:editor ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q25161472 p:P98 ?s.?s ps:P98 ?item FILTER NOT EXISTS {?s pq:P582 []} SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
221	Which awards did Douglas Hofstadter win?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Douglas_Hofstadter dbo:award ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q319308 wdt:P166 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Douglas_Hofstadter res:hasWonPrize ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
222	Who is the youngest Darts player?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:DartsPlayer ; dbo:birthDate ?date; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?date) OFFSET 0 LIMIT 1	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P106 wd:Q18574233 . ?item wdt:P569 ?d . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY DESC(?date) OFFSET 0 LIMIT 1	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri a res:wikicat_Professional_Darts_Corporation_players .?uri res:wasBornOnDate ?date .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}  GROUP BY ?label ORDER BY DESC(?date) OFFSET 0 LIMIT 1	X
224	Which river does the Brooklyn Bridge cross?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Brooklyn_Bridge dbo:crosses ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q125006 wdt:P177 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Brooklyn_Bridge res:linksTo ?uri .?uri a res:wikicat_Rivers_of_New_York .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}  	X
231	Give me all launch pads operated by NASA.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:LaunchPad ; dbo:operator res:NASA; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wd:P31* wd:Q1353183 . ?item wdt:P137 wd:Q23548 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri a res:wordnet_launching_pad_103647691 .?uri res:linksTo res:NASA .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}  	X
232	Who developed the video game World of Warcraft?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:World_of_Warcraft dbo:developer ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT ?itemLabel WHERE { wd:Q131007 wdt:P287 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:created res:World_of_Warcraft .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}  	X
237	Where is Sungkyunkwan University?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { dbr:Sungkyunkwan_University dbo:city ?city ; dbo:country ?country; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q41085 wdt:P131 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>  SELECT ?o WHERE { res:Sungkyunkwan_University  res:isLocatedIn ?o } LIMIT 1	X
238	Who is the author of the interpretation of dreams?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?label WHERE { dbr:The_Interpretation_of_Dreams dbo:author ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q726382 wdt:P50 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:created res:The_Interpretation_of_Dreams .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}  	X
241	Who developed Slack?	PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?label WHERE { ?uri dbo:product <http://dbpedia.org/resource/Slack_(software)>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q17130715 wdt:P178 ?item SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {?uri res:created <http://yago-knowledge.org/resource/Slack_(software)> .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}  	X
242	Where is the origin of Carolina reaper?	PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?label WHERE { dbr:Carolina_Reaper dbo:origin ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )}	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q15427475 wdt:P495 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
246	Which cities does the Weser flow through?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Weser dbo:city ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P206 wd:Q1650; wdt:P31/wdt:P279? wd:Q515 SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Weser res:linksTo ?uri .?uri a res:wordnet_city_108524735 .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}  	X
247	In which programming language is GIMP written?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:GIMP dbo:programmingLanguage ?uri; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q8038 wdt:P277 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	X	X
248	Which university did Angela Merkel attend?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:Angela_Merkel dbo:almaMater ?uri. ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q567 wdt:P69 ?item . ?item wdt:P31 wd:Q3918 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }	PREFIX res: <http://yago-knowledge.org/resource/>PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>PREFIX info: <http://yago-knowledge.org/resource/infobox/en/>SELECT DISTINCT ?label WHERE {res:Angela_Merkel res:graduatedFrom ?uri .?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "eng" )}	X
